category;name;price;description;allergens;;
káva;espresso;49 KČ;;;žádné;
káva;americano;69 KČ; ; ;;
káva;lungo;59 KČ;;;;
káva;double espresso;65 KČ;;;;
káva;capucinno;69 KČ;;;;
káva;caffè latte;75 KČ;;;;
káva;flat white;85 KČ;;;;
káva;macchiato;55 KČ;;;;
káva;filtrovaná káva;75 KČ;;;;
káva;affogato;99 KČ;dvojité espresso s vanilkovou zmrzlinou.;;;
káva;espresso tonic;89 KČ;;;;
káva;vídeňská káva;79 KČ;espresso lungo se šlehačkou;;;
káva;alžírská káva;99 KČ;espresso lungo vaječný koňak, šlehačka;;;
káva;espresso baileys;99 KČ;espresso, Baileys, šlehačka;;;
káva;extra shot;15 KČ;;;;
káva;alternativní mléka; 15 KČ;bezlaktozové, ovesné, kokosové;;;
káva;příchuť do kávy;10 KČ;karamel, vanilka, dýně, perník;;;
horké nápoje;chai latte;79 KČ;;;;
horké nápoje;matcha latte;79 KČ;;;;
horké nápoje;čaj;69 KČ;sypaný čaj černý, zelený, ovocný, heřmánkový;;;
horké nápoje;čaj z čerstvého zázvoru;79 KČ;;;;
horké nápoje;čaj z čerstvé máty;79 KČ;;;;
horké nápoje;horká čokoláda;79 KČ;klasik, bílá;;;
horké nápoje;horká limonáda;69 KČ;;;;
horké nápoje;horký jablečný mošt;69 KČ;;;;
horké nápoje;svařené víno ;79 KČ;;;;
horké nápoje;griotka;69 KČ;;;;
horké nápoje;grog;69 KČ;;;;
horké nápoje;bombardino;129 KČ;;;;
nealko;fresh ;90 KČ;čerstvě vymačkaný pomeranč;;;
nealko;seicha matcha;79 KČ;limenta, grapfuit, yuzu ;;;
nealko;domácí limonáda;69 KČ;malina, jahoda, mango-maracuja;;;
nealko;ice tea;59 KČ;citron, broskev;;;
nealko;mattoni;35 KČ;Nneperlivá, jemně perlivá;;;
nealko;royal crown cola;59 KČ;;;;
nealko;kombucha;85 KČ;;;;
nealko;tonic targa florio ;59 KČ;originale, rosa, zázvor;;;
nealko;juice ;59 KČ;jablko, jahoda, pomeranč;;;
nealko;jablečný mošt 0,25 l;59 KČ;;;;
nealko;birel pomelo;49 KČ;;;;
alko;pivo bernard ;69 KČ;;;;
alko;prosecco 0,2 l/0,75l;148/449 KČ;;;;
alko;víno rozlévané 0,15l;69 KČ;bílé, červené, růžové;;;
alko;cider f.h. prager 11;79 KČ;;;;
alko;cider f.h. prager nealko;79 KČ;nealko, višeň, zázvor;;;
alko;aperol spritz;129 KČ;;;;
alko;gin tonic;129 KČ;;;;
alko;mojito ;129 KČ;;;;
alko;cuba libre;129 KČ;;;;
alko;hugo;129 KČ;;;;
alko;mimosa ;129 KČ;;;;
sladké;dorty;89 KČ;luxusní dorty podle denní nabídky.;;;
sladké;větrník;95 KČ;;;;
sladké;brownies;79 KČ;čokoláda, višně;;;
sladké;ořechový koláč;69 KČ;;;;
sladké;celozrnné koláče;69 KČ;dle denni nabidky;;;
sladké;quiche celozrnné;79 KČ;dle denni nabidky;;;
slané;croissant plněný;75 CZK;dle denni nabidky;;;
slané;toast;75 CZK;dle denni nabidky;;;
zmrzlina;kopeček;49 KČ;sorbet/smetanová dle denní nabídky;;;
zmrzlina;2 kopečky;89 KČ;dle výběru;;;
zmrzlina;3 kopečky;129 KČ;dle výběru;;;
zmrzlina;pohár s polevou;129 KČ;2 kopečky, poleva, posyp, šlehačka;;;
zmrzlina;pohár s horkými malinami;149 KČ;2 kopečky, horké maliny, šlehačka;;;
